id	reg	vb	hinc	hmem	hint	fixline	hcar	sex	agecat	marits	red	empst	hhead	pinc	sim	seg_ls	q74#1	q74#2	q74#3	q74#4	q74#5	q74#6	q74#7	q74#8	q74#9	q65#13	q65#17	q65#18	q40_23	q75_1	q78_1
166	62	5	13	3	 	1	1	1	3	1	4	2	2	17	1	2	1	0	0	0	0	0	0	1	0	1	0	1	1	150	60
167	21	2	14	1	1	2	2	1	6	4	4	2	1	17	1	8	1	1	1	0	1	1	0	1	0	1	0	1	3	240	180
168	53	1	16	2	2	2	1	2	4	2	4	2	2	17	1	3	1	1	1	0	1	0	0	1	0	1	1	1	3	180	60
169	42	5	14	3	1	2	1	2	3	2	1	6	1	22	1	4	1	1	1	0	1	0	1	1	0	1	0	1	1	60	60
170	61	4	14	4	1	2	1	1	2	1	3	1	2	 	1	8	1	1	0	0	0	0	0	0	0	1	0	0	1	60	180
171	32	5	20	2	1	1	1	1	2	3	1	1	1	 	1	3	1	1	1	1	1	1	1	0	1	1	0	1	1	60	60
172	71	1	14	4	1	2	1	1	1	1	1	1	2	 	1	6	1	1	1	1	0	0	0	1	1	1	1	0	1	60	120
173	21	1	14	2	1	1	2	2	6	4	2	4	1	16	1	6	1	0	1	0	0	0	0	0	0	0	0	0	6	30	30
174	32	1	14	2	1	1	2	2	3	1	4	2	1	18	1	2	1	1	1	0	0	0	0	0	0	0	1	0	1	240	130
175	72	4	13	4	1	2	2	2	5	2	4	2	2	15	1	4	1	1	1	0	0	1	1	0	0	1	0	1	1	30	30
176	72	4	15	5	1	1	1	2	3	2	3	6	2	21	1	2	1	1	1	0	1	0	1	1	0	1	1	0	1	180	180
177	41	1	14	4	1	1	1	2	4	2	3	6	2	31	1	3	1	1	1	0	0	0	0	1	0	1	1	0	2	120	60
178	21	1	17	4	1	2	1	2	4	2	4	6	2	18	1	6	1	1	1	1	1	0	1	1	1	1	1	0	1	180	100
179	21	2	12	3	1	1	2	1	4	1	2	4	1	15	1	2	1	1	1	1	1	1	1	1	1	1	0	1	2	60	60
180	81	4	13	4	1	1	2	1	3	2	3	2	1	14	1	7	1	1	1	0	1	0	0	1	0	1	1	1	1	180	240
181	81	5	14	3	 	1	2	1	4	2	1	4	1	15	1	3	1	1	1	1	1	1	0	0	0	1	1	0	4	60	240
182	72	3	14	3	1	2	2	1	4	2	2	2	1	15	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	120	240
183	51	5	19	3	1	2	1	2	6	2	2	9	2	23	2	4	1	1	0	0	1	0	0	0	0	1	1	0	5	30	30
184	61	2	13	2	1	2	2	1	4	1	4	2	1	14	1	8	1	1	1	0	1	1	1	1	0	1	1	1	1	600	400
185	11	6	14	2	1	1	3	2	3	1	4	2	1	17	1	6	1	1	1	1	1	1	0	1	1	1	1	0	1	600	600
186	11	6	13	3	1	2	3	1	3	1	2	2	2	19	2	5	1	1	1	1	0	0	0	0	1	1	1	0	1	90	300
187	42	3	14	5	1	2	1	2	2	3	2	6	1	20	1	3	1	1	0	0	0	0	0	0	0	1	0	0	2	60	120
188	81	5	15	2	1	2	2	2	2	3	4	2	2	19	1	6	1	1	0	1	0	0	0	1	0	1	0	0	1	1	2
189	21	2	14	2	1	1	2	2	5	2	2	9	2	21	1	3	1	1	1	0	0	0	0	0	0	1	1	0	4	100	60
190	31	4	17	3	1	1	1	2	3	1	2	6	1	22	1	3	1	0	1	1	0	0	0	0	0	1	1	0	2	60	10
191	42	5	17	4	1	2	3	2	5	4	2	7	1	18	1	3	1	1	1	1	1	1	1	1	1	1	0	0	2	60	100
192	72	2	15	4	1	2	2	1	1	1	1	1	2	 	1	7	1	1	1	1	0	1	1	0	1	0	1	0	1	120	180
193	71	5	15	4	1	2	1	2	1	1	3	1	1	 	1	2	1	1	1	0	1	0	1	1	1	1	1	0	1	16	16
194	62	4	16	3	1	2	3	2	5	4	2	2	1	20	1	2	1	1	1	0	0	1	0	0	0	1	1	0	1	60	120
195	53	4	14	3	1	2	1	2	3	2	4	7	2	22	1	8	1	1	1	1	1	1	0	1	1	1	1	0	1	180	180
196	81	4	15	5	1	2	2	1	1	1	2	1	1	 	1	8	1	1	1	1	0	1	1	1	1	1	1	0	1	180	60
